Code,Name,Gender,Age,Address,Phone,Email
S028, Daniel Wilson, F, 22, 351 Maple Dr, 555-5312, daniel.wilson28@example.com
S029, Bob Brown, M, 19, 793 Maple Dr, 555-2875, bob.brown29@example.com
S030, Liam Wilson, F, 25, 847 Birch Blvd, 555-4640, liam.wilson30@example.com
S031, John Smith, F, 22, 664 Elm St, 555-9114, john.smith31@example.com
S032, Alice Doe, M, 24, 830 Pine Rd, 555-1422, alice.doe32@example.com
S033, Emily Brown, F, 21, 630 Pine Rd, 555-6492, emily.brown33@example.com
S034, Jane Davis, M, 18, 878 Oak Ave, 555-1373, jane.davis34@example.com
S035, Alice Smith, F, 19, 209 Elm St, 555-7932, alice.smith35@example.com
S036, Alice Smith, M, 18, 286 Birch Blvd, 555-1942, alice.smith36@example.com
S037, Tom Jones, F, 20, 487 Birch Blvd, 555-3853, tom.jones37@example.com
S038, John Anderson, F, 21, 554 Maple Dr, 555-1110, john.anderson38@example.com
S039, John Davis, M, 20, 492 Birch Blvd, 555-6843, john.davis39@example.com
S040, Liam Anderson, F, 22, 565 Birch Blvd, 555-3913, liam.anderson40@example.com
S041, Bob Smith, F, 19, 753 Pine Rd, 555-3703, bob.smith41@example.com
S042, Emily Jones, F, 19, 851 Pine Rd, 555-7683, emily.jones42@example.com
S043, John Miller, F, 22, 897 Ash Ct, 555-1847, john.miller43@example.com
S044, Alice Miller, F, 21, 539 Oak Ave, 555-8673, alice.miller44@example.com
S045, Bob Doe, M, 19, 837 Maple Dr, 555-4763, bob.doe45@example.com
S046, Emily Doe, F, 18, 114 Main St, 555-4412, emily.doe46@example.com
S047, Daniel Doe, M, 24, 804 Main St, 555-8706, daniel.doe47@example.com
S048, Alice Johnson, M, 24, 463 Birch Blvd, 555-2836, alice.johnson48@example.com
S049, John Davis, M, 21, 212 Pine Rd, 555-7921, john.davis49@example.com
S050, Jane Miller, M, 18, 413 Elm St, 555-8633, jane.miller50@example.com
S051, Tom Doe, M, 23, 389 Birch Blvd, 555-7948, tom.doe51@example.com
S052, Emily Johnson, M, 21, 512 Oak Ave, 555-2431, emily.johnson52@example.com
S053, Liam Miller, F, 19, 630 Pine Rd, 555-7422, liam.miller53@example.com
S054, Daniel Williams, F, 19, 884 Maple Dr, 555-8043, daniel.williams54@example.com
S055, Bob Johnson, F, 24, 347 Ash Ct, 555-2327, bob.johnson55@example.com
S056, Liam Anderson, F, 21, 711 Elm St, 555-9682, liam.anderson56@example.com
S057, Liam Brown, M, 23, 385 Ash Ct, 555-1682, liam.brown57@example.com
S058, Bob Davis, F, 19, 746 Cedar Ave, 555-1149, bob.davis58@example.com
S059, Olivia Brown, M, 21, 389 Oak Ave, 555-5241, olivia.brown59@example.com
S060, John Doe, M, 20, 669 Maple Dr, 555-4864, john.doe60@example.com
S061, Alice Johnson, M, 18, 354 Birch Blvd, 555-2879, alice.johnson61@example.com
S062, Daniel Wilson, M, 22, 589 Pine Rd, 555-8683, daniel.wilson62@example.com
S063, Emily Jones, F, 19, 164 Main St, 555-2330, emily.jones63@example.com
S064, Alice Johnson, M, 19, 505 Pine Rd, 555-9216, alice.johnson64@example.com
S065, Alice Wilson, M, 23, 184 Oak Ave, 555-6916, alice.wilson65@example.com
S066, John Johnson, M, 24, 802 Birch Blvd, 555-6289, john.johnson66@example.com
S067, Liam Brown, F, 24, 474 Main St, 555-3598, liam.brown67@example.com
S068, Tom Brown, F, 22, 737 Cedar Ave, 555-8504, tom.brown68@example.com
S069, Liam Brown, M, 21, 207 Cedar Ave, 555-2631, liam.brown69@example.com
S070, Liam Anderson, M, 21, 621 Pine Rd, 555-2163, liam.anderson70@example.com
S071, Daniel Wilson, M, 23, 523 Main St, 555-1956, daniel.wilson71@example.com
S072, John Davis, M, 23, 674 Pine Rd, 555-2306, john.davis72@example.com
S073, Jane Williams, M, 25, 748 Oak Ave, 555-2413, jane.williams73@example.com
S074, Liam Brown, F, 25, 160 Elm St, 555-7228, liam.brown74@example.com
S075, John Brown, F, 18, 555 Birch Blvd, 555-4107, john.brown75@example.com
S076, Liam Jones, M, 23, 299 Cedar Ave, 555-7412, liam.jones76@example.com
S077, Alice Johnson, M, 22, 405 Oak Ave, 555-5438, alice.johnson77@example.com
S078, Alice Jones, F, 21, 270 Elm St, 555-5379, alice.jones78@example.com
S079, Jane Johnson, F, 19, 902 Birch Blvd, 555-2037, jane.johnson79@example.com
S080, John Smith, M, 18, 745 Birch Blvd, 555-7157, john.smith80@example.com
S081, Alice Jones, M, 22, 346 Birch Blvd, 555-9353, alice.jones81@example.com
S082, Daniel Brown, F, 18, 117 Elm St, 555-1642, daniel.brown82@example.com
S083, Bob Miller, F, 19, 739 Maple Dr, 555-6541, bob.miller83@example.com
S084, Bob Jones, F, 25, 690 Birch Blvd, 555-6943, bob.jones84@example.com
S085, Alice Jones, F, 18, 176 Elm St, 555-5520, alice.jones85@example.com
S086, Tom Williams, F, 24, 264 Birch Blvd, 555-5496, tom.williams86@example.com
S087, Liam Miller, M, 18, 846 Ash Ct, 555-7235, liam.miller87@example.com
S088, Jane Williams, F, 24, 934 Main St, 555-3032, jane.williams88@example.com
S089, John Smith, M, 19, 586 Maple Dr, 555-8912, john.smith89@example.com
S090, Bob Brown, M, 24, 801 Birch Blvd, 555-7960, bob.brown90@example.com
S091, Tom Anderson, M, 23, 957 Cedar Ave, 555-2415, tom.anderson91@example.com
S092, John Smith, M, 21, 117 Cedar Ave, 555-4607, john.smith92@example.com
S093, Emily Miller, M, 21, 221 Maple Dr, 555-9538, emily.miller93@example.com
S094, Sarah Wilson, M, 19, 181 Cedar Ave, 555-9815, sarah.wilson94@example.com
S095, Daniel Doe, M, 20, 344 Ash Ct, 555-4392, daniel.doe95@example.com
S096, Emily Johnson, M, 23, 117 Birch Blvd, 555-8565, emily.johnson96@example.com
S097, Daniel Miller, F, 20, 395 Pine Rd, 555-3000, daniel.miller97@example.com
S098, Jane Anderson, M, 20, 718 Birch Blvd, 555-7237, jane.anderson98@example.com
S099, Liam Doe, F, 24, 690 Oak Ave, 555-5134, liam.doe99@example.com
S100, Alice Doe, F, 20, 982 Cedar Ave, 555-3512, alice.doe100@example.com
